run_id,seed,fold,start_date,end_date,seconds,run_id,seed,signals.entry_z,signals.exit_z,signals.hard_stop_z,gates.fdr_alpha,gates.time_stop_multiple,gates.hl_min_days,gates.hl_max_days,risk.max_active_spreads,gates.adf_pvalue,Net Sharpe,Gross Sharpe,Net APR,Gross APR,Cost skip rate
020,300020,F1_2017_2018,2017-01-01,2018-12-31,5.188,020,300020,2.2113,0.2689,5,0.0739,4.0,3,20,7,0.1785,0.2701884088804386,0.34671445885520336,0.009610258828878181,0.01234780742041035,0.0
020,300020,F2_2018_2019,2018-01-01,2019-12-31,6.042,020,300020,2.2113,0.2689,5,0.0739,4.0,3,20,7,0.1785,-0.777159154216304,-0.6326833855413077,-0.013388667364651188,-0.01086453537992842,0.0
020,300020,F3_2019_2020,2019-01-01,2020-12-31,6.732,020,300020,2.2113,0.2689,5,0.0739,4.0,3,20,7,0.1785,-0.12162475318886709,-0.04469056211948011,-0.0025304740240398244,-0.0009281216512918439,0.0
020,300020,F4_2020_2021,2020-01-01,2021-12-31,6.749,020,300020,2.2113,0.2689,5,0.0739,4.0,3,20,7,0.1785,-1.3984611519437025,-1.2540852431601999,-0.02075749204280986,-0.018556117959320547,0.0
020,300020,F5_2022_2023,2022-01-01,2023-12-31,5.787,020,300020,2.2113,0.2689,5,0.0739,4.0,3,20,7,0.1785,0.02535211071080645,0.09569617735384787,0.0006243174459329811,0.0023503467047403686,0.0
021,300021,F1_2017_2018,2017-01-01,2018-12-31,5.137,021,300021,2.4263,0.1462,5,0.0718,4.0,3,20,6,0.1089,0.14767274669017846,0.21512094736673812,0.005263105516972582,0.007675392939757265,0.0
021,300021,F2_2018_2019,2018-01-01,2019-12-31,5.266,021,300021,2.4263,0.1462,5,0.0718,4.0,3,20,6,0.1089,-0.8475926259075659,-0.7084189717078193,-0.014272960638792102,-0.011900587663750248,0.0
021,300021,F3_2019_2020,2019-01-01,2020-12-31,6.438,021,300021,2.4263,0.1462,5,0.0718,4.0,3,20,6,0.1089,0.14815690545940374,0.23300057807081442,0.0030691603946144796,0.004810927647382022,0.0
021,300021,F4_2020_2021,2020-01-01,2021-12-31,6.643,021,300021,2.4263,0.1462,5,0.0718,4.0,3,20,6,0.1089,-1.094988793211391,-0.9543388442392309,-0.017197453835474948,-0.01488994563871622,0.0
021,300021,F5_2022_2023,2022-01-01,2023-12-31,5.577,021,300021,2.4263,0.1462,5,0.0718,4.0,3,20,6,0.1089,0.09205077083347998,0.16462091011706964,0.0020740133620900554,0.003697982202802946,0.0
022,300022,F1_2017_2018,2017-01-01,2018-12-31,5.291,022,300022,1.8564,0.501,6,0.1156,4.0,3,60,8,0.1053,-0.212423357521908,-0.1253050690444356,-0.008079975208717394,-0.004770232654085316,0.0
022,300022,F2_2018_2019,2018-01-01,2019-12-31,5.478,022,300022,1.8564,0.501,6,0.1156,4.0,3,60,8,0.1053,-0.5224589178420277,-0.3632319374720751,-0.010809703351241356,-0.007509779642027212,0.0
022,300022,F3_2019_2020,2019-01-01,2020-12-31,6.588,022,300022,1.8564,0.501,6,0.1156,4.0,3,60,8,0.1053,-0.7469892555929004,-0.6764671912034974,-0.017649858654509375,-0.01594498938882351,0.0
